routing type,vehicles,avg speed,avg time to finish trip,proportion of finished trips,optimaldiffavg,optimaldiff10%avg,dijdiffavg,dijdiff10%avg,algo processing time (ms),"(note only 80% of vehicles are tracked, the other 20% are used to initially populate the network)"
2,4500,7.055064219,271.6803499,0.835300731,160.6506313,839.7191964,6.638439335,143.3772412,358.256305,
2,5000,6.339430295,278.8830673,0.733893557,184.8252721,906.6785969,6.071747906,124.9985127,584.923497,
3,2500,19.51067021,174.3405,1,44.08766239,236.5252334,3.030082209,49.76825944,271077.9761,
3,3000,16.84582137,180.0375505,0.72125,76.34839402,440.4205518,11.96444402,114.5667641,450876.6285,
3,3500,17.3164307,167.2539497,0.610357143,81.17815749,463.239224,12.41875541,110.8157786,794588.8663,
3,4000,14.45043988,202.1854975,0.5559375,123.9788323,666.480092,15.64434977,158.3403543,1214400.206,
3,4500,14.04056299,184.8465171,0.470555556,115.9969671,646.5439527,7.251912883,98.6314134,1846011.043,
3,5000,14.5599301,170.6660494,0.405,111.2761148,650.290404,2.758230045,75.79235361,3063825.88,
3,2,31.10047847,104.5,1,0.3125,0.625,0,0,43.732165,
3,2,31.10047847,104.5,1,0.3125,0.625,0,0,25.812148,
3,2,31.10047847,104.5,1,0.3125,0.625,0,0,26.801396,
3,2,31.10047847,104.5,1,0.3125,0.625,0,0,41.975489,
3,2,31.10047847,104.5,1,0.3125,0.625,0,0,32.147903,
3,2,31.10047847,104.5,1,0,0,0,0,40.824347,
3,3,29.18287938,85.66666667,1,0,0,0,0,132.778698,
3,5,30.8988764,106.8,1,0,0,0,0,5840.17094,
3,6,30.46594982,93,1,0,0,0,0,72704.86251,
3,6,30.46594982,93,1,0,0,0,0,44.148656,
3,506,26.21186692,120.1067194,1,0,0,0,0,9597.142765,
3,1000,26.57007376,118.625,1,0,0,0,0,37826.15232,
3,1500,26.58392707,119.6525,1,0,0,0,0,61138.05008,
3,2000,25.8330855,123.993125,1,0.005621984,1.062762494,0.003919649,1.062762494,113063.9455,
3,2500,19.90778997,171.2395,1,1.871222495,46.58843825,1.786205742,45.79557251,211539.7664,
3,3000,16.01698181,184.1326413,0.7225,14.70441357,127.8767831,14.27903366,133.0759298,465902.6703,
3,1000,12.93996279,141.76625,1,15.74268636,128.74575,0,0,51.907015,1
3,1500,8.877689832,212.5675,1,64.888406,373.0545595,0,0,33.509305,1
3,2000,7.426819587,247.1601375,0.909375,116.0509149,679.7013855,0,0,44.961106,1
3,2500,6.768962559,259.2740741,0.81,175.7419228,1133.389169,0,0,70.674922,1
3,3000,6.543700939,268.3500539,0.7725,174.1230018,927.5017311,0,0,109.984648,1
3,3500,6.256885004,288.8516865,0.72,217.5264813,1182.508065,0,0,230.463266,1
3,4000,6.017428256,299.0717036,0.654488189,264.7863946,1462.227063,0,0,395.498735,1
3,4500,5.475521268,317.7198892,0.611974019,308.5078708,1667.878289,0,0,609.202097,1
3,5000,5.032722544,326.4765879,0.554641296,340.3475432,1820.827112,0,0,865.269012,1
3,1000,12.93996279,141.76625,1,15.74268636,128.74575,0,0,55.237289,0.8
3,1500,8.888328189,213.0275,1,65.38620007,378.3615314,0.333590167,3.705619979,32.603794,0.8
3,2000,7.581804113,243.15189,0.909375,115.3931207,700.1540195,1.90056208,21.0794492,46.452613,0.8
3,2500,7.829691465,238.7127907,0.86,119.4937169,685.7654829,0.592694708,15.34257399,263.296137,0.8
3,3000,7.464446662,254.1911458,0.8,151.0794829,796.8222458,1.868237501,29.47194082,456.001143,0.8
3,3500,7.14106484,275.2846751,0.736428571,194.5553181,1025.329757,2.549006403,39.65999768,719.094107,0.8
3,4000,6.980516729,283.261489,0.68,235.0767423,1304.943891,2.102444627,35.13963155,1023.404599,0.8
3,4500,6.46680481,285.7197827,0.61549178,257.5719421,1406.543606,1.749411593,34.94953912,1642.85232,0.8
3,5000,6.039480346,295.1026087,0.60130719,289.8586821,1592.737191,2.498471371,42.091544,2271.021886,0.8
3,1000,13.27813734,138.6725,1,12.63308096,102.669712,1.542598513,17.93543806,57.709772,0.4
3,1500,11.13656396,175.8516667,1,37.48668846,239.7065485,6.751089549,89.79645322,46.263545,0.4
3,2000,10.94900385,199.9213836,0.99375,73.82405465,482.2974226,23.16890922,252.574815,53.272047,0.4
3,2500,9.152858118,236.1111111,0.8865,110.8490228,673.3520318,20.44082677,282.0360686,118.134677,0.4
3,3000,9.57193559,253.0042533,0.881666667,140.1873856,825.420629,30.11682578,337.0852128,240.966928,0.4
3,3500,9.797882956,250.6345004,0.836428571,146.1905842,812.5355701,32.78744755,344.787137,721.448347,0.4
3,4000,10.20073286,243.8775144,0.87,129.0878157,709.4240329,25.92653532,294.0404542,1051.747857,0.4
3,1000,13.92878346,155.4706724,0.897304236,25.44584364,125.0703375,23.93253256,122.1808938,1489.006722,0
3,1500,13.60745426,150.3072862,0.906220096,22.37264704,100.6821009,20.8762292,97.59094326,2762.302857,0
3,2000,13.99683669,136.912895,0.884441088,17.85777165,79.61277387,16.36571754,76.55597994,3906.583919,0
3,2500,13.50875518,129.4629768,0.899125757,19.66674632,89.94281509,17.95582382,86.2817807,5689.514814,0
3,3000,13.87199076,122.5712357,0.884707288,21.62833769,100.320514,19.9319545,96.23904217,6892.818937,0
3,3500,13.82099974,128.733191,0.924063116,21.67922814,112.3578658,19.96787237,108.5557025,7824.312151,0
3,4000,13.68191385,122.3323263,0.912683824,21.69240702,112.2028971,19.6292553,106.9771518,9223.910294,0
3,4500,13.83465572,120.9696699,0.928748964,21.04151365,100.8396004,18.96620657,96.00242219,10475.65021,0
3,5000,13.67158921,128.1763029,0.93668955,24.82216647,143.2908644,22.6663287,136.951606,11735.24148,0
3,1000,13.95577379,185.07125,1,67.8331882,408.4023259,65.70710803,400.7647556,117.937696,0.1
3,1500,13.94907425,178.9533333,1,61.69061867,390.8039692,59.64236643,384.2610476,407.942186,0.1
3,2000,13.9220574,168.489375,1,45.17170126,276.2198847,43.07766264,269.808105,878.98398,0.1
3,2500,13.95880413,176.5212819,0.9985,45.68737705,248.664741,43.19895529,242.5561115,1527.181262,0.1
3,3000,13.87277875,172.1697248,0.999166667,45.23731378,255.0900453,41.57177875,246.6918343,2242.350961,0.1
3,3500,13.99772604,170.6499629,0.962142857,39.72809939,201.6763687,35.33979239,192.7471849,3140.792145,0.1
3,4000,13.64753367,176.5136468,0.9503125,39.67309561,191.1383324,28.77693148,158.4727452,3823.782575,0.1
3,4500,13.89034172,159.7226324,0.865277778,36.49589842,194.4862825,27.76085469,172.706972,4999.643025,0.1
3,5000,14.06838552,165.4099362,0.90075,33.55284248,156.9833598,25.18256173,136.9784376,6679.987565,0.1
3,1000,13.93781737,150.40375,1,37.75772403,302.5395403,35.81168503,295.8647145,21.500905,0.2
3,1500,13.89985062,171.2608333,1,61.12369692,453.841145,57.4829569,437.4357868,64.349432,0.2
3,2000,13.83851791,190.71,1,84.56083481,575.3085748,78.29292857,549.7923853,218.908435,0.2
3,2500,13.17446771,195.102,1,74.03779678,440.9331518,61.66266961,402.5903885,484.664534,0.2
3,3000,12.6774044,206.4543933,0.995833333,90.08701659,559.2093436,71.36651229,491.4456714,807.841198,0.2
3,3500,12.02783763,213.9091896,0.987142857,87.65045308,514.0019838,55.57355094,416.1277247,1435.8259,0.2
3,4000,12.00885107,211.1350503,0.995,80.74721373,457.4383182,43.89339599,336.7227195,1992.474747,0.2
3,4500,12.60820847,204.0704501,0.993611111,69.84329531,369.9985313,33.75663054,236.6063797,3167.324989,0.2
3,5000,12.35383324,202.9757244,0.95775,71.79472022,384.3325124,37.29473409,255.5491053,4181.523871,0.2
